지 역,,,18년 01,18년 02,전분기대비,18년 03,전분기대비,18년 04,전분기대비,19년 01,전분기대비,19년 02,전분기대비,19년 03,전분기대비,19년 04,전분기대비,20년 01,전분기대비,20년 02,전분기대비,20년 03,전분기대비,20년 04,전분기대비,21년 01,전분기대비,,전년대비,,,,,,,,
경기,광명시,,0.2,2.3,2.1,13.3,11.0,22.2,8.9,14.9,-7.3,17.1,2.2,23.4,6.3,27.4,4.0,32.9,5.5,39.7,6.8,56.9,17.2,67,10.1,79,12.0,,6.3,,,,6.8,,,,24.3
경기,평택시,,-3.3,-7.1,-3.8,-9.8,-2.7,-11.3,-1.5,-14.6,-3.3,-16.8,-2.2,-18.3,-1.5,-18.7,-0.4,-17.8,0.9,-14,3.8,-13.2,0.8,-11.5,1.7,-4.1,7.4,삼성 건설 시작과 과정에서는 집값에 그렇게 큰 영향은 주지 못한다.,14.7,,총 변수들을 고려해서 종합적인,,18,,,,46.1
경기,안산시,,-3.3,-6.7,-3.4,-9.2,-2.5,-11.9,-2.7,-12.8,-0.9,-12.4,0.4,-12.5,-0.1,-10.9,1.6,-5.1,5.8,4,9.1,6.7,2.7,8.5,1.8,23.7,15.2,,-11.3,,유력한 아파트 대상을 모색,,-3.2,,,,13.7
경기,,상록구,-3.4,-6.8,-3.4,-8.8,-2.0,-11.3,-2.5,-12,-0.7,-12.5,-0.5,-11.9,0.6,-11.2,0.7,-5.9,5.3,2.5,8.4,6.5,4.0,7.8,1.3,24.8,17.0,,-9.5,,,,7.7,,,,28.8
경기,,단원구,-3.1,-6.5,-3.4,-9.4,-2.9,-12.4,-3.0,-13.3,-0.9,-12.3,1.0,-12.8,-0.5,-10.6,2.2,-4.4,6.2,5.4,9.8,7.1,1.7,9.2,2.1,22.9,13.7,,-8.6,,1. 대형유명학원 신설예정된 곳,,6.1,,,,30.7
경기,고양시,,-0.5,-1.1,-0.6,-0.4,0.7,1.5,1.9,-1,-2.5,-2.8,-1.8,-3.7,-0.9,-2.1,1.6,1.1,3.2,3.9,2.8,9.5,5.6,19.6,10.1,41.8,22.2,,-10.2,,2. 대학교 부지이동,,8.9,,,,27.3
경기,,덕양구,-0.1,-0.5,-0.4,1.8,2.3,5.9,4.1,4.2,-1.7,2.7,-1.5,2.6,-0.1,3.7,1.1,7.4,3.7,11.6,4.2,18.4,6.8,27.5,9.1,51.6,24.1,오대열 경제만랩 리서치팀장은 “정부가 3기 신도시 건설과 함께 광역교통대책 마련에도 속도를 내고 있다”며 “서울 은평구 새절역과 고양시청을 연결하는 고양선이 개통되면 서울 접근성이 한층 더 좋아져 덕양구의 인기가 더 높아질 것으로 보인다”고 했다.,-0.5,,3. 교통 -> gtx 개통 지역(예정),,2.1,,,,40.7
경기,,일산동구,-0.2,-0.7,-0.5,-1.2,-0.5,-0.4,0.8,-3.3,-2.9,-5.4,-2.1,-6.5,-1.1,-4.9,1.6,-2.2,2.7,0.4,2.6,5.6,5.2,15.3,9.7,34.3,19.0,,4.3,,4,,3.2,,,,44.2
경기,,일산서구,-1,-1.6,-0.6,-1.7,-0.1,-1.9,-0.2,-4.7,-2.8,-6.6,-1.9,-8.1,-1.5,-5.8,2.3,-2.7,3.1,-0.6,2.1,4.1,4.7,15.3,11.2,37.6,22.3,,-3.1,,,,1.1,,,,36.5
경기,과천시,,11,18.7,7.7,22.8,4.1,26.2,3.4,19.9,-6.3,24.1,4.2,34.5,10.4,49.1,14.6,54.5,5.4,48.9,-5.6,62.1,13.2,66.2,4.1,78,11.8,,-3.7,,,,2,,,,40.3
