,address,Latitude,Longitude
379,서울특별시 강서구 방화대로50길 7,37.57681212,126.8174741
380,서울특별시 강서구 수명로1길 110,37.55185777,126.8247079
381,서울특별시 강서구 수명로1길 16,37.55204782,126.8225609
382,서울특별시 강서구 수명로2가길 22,37.54766287,126.8219177
383,서울특별시 강서구 수명로2길 105,37.55158665,126.8275827
384,서울특별시 강서구 수명로2길 63,37.54987533,126.8258219
385,서울특별시 강서구 양천로 125,37.57384876,126.8172458
386,서울특별시 강서구 양천로 140,37.57309765,126.8189747
387,서울특별시 강서구 양천로 489,37.56224357,126.8542071
388,서울특별시 강서구 양천로 497,37.56120403,126.8557017
389,서울특별시 강서구 양천로 507,37.5603957,126.8573626
390,서울특별시 강서구 양천로 521,37.56021887,126.858289
391,서울특별시 강서구 양천로 590,37.55579173,126.8644319
392,서울특별시 강서구 양천로 595,37.5560552,126.8653078
393,서울특별시 강서구 양천로 613,37.55526678,126.8663765
394,서울특별시 강서구 양천로 637,37.55444115,126.8685891
395,서울특별시 강서구 양천로 656,37.55273464,126.8694604
396,서울특별시 강서구 양천로 666,37.55151575,126.8705098
397,서울특별시 강서구 양천로 731,37.55025171,126.8773969
398,서울특별시 강서구 양천로14길 118,37.56871472,126.8082165
399,서울특별시 강서구 양천로14길 17,37.57236238,126.8105543
400,서울특별시 강서구 양천로14길 37,37.57156558,126.8102972
401,서울특별시 강서구 양천로18길 27,37.57242037,126.8135318
402,서울특별시 강서구 양천로1길 117,37.57524156,126.8089654
403,서울특별시 강서구 양천로24가길 59,37.57106072,126.8138386
404,서울특별시 강서구 양천로26길 103,37.57301882,126.8208695
405,서울특별시 강서구 양천로26길 38,37.57221492,126.8183709
406,서울특별시 강서구 양천로27길 129,37.57892788,126.8194959
407,서울특별시 강서구 양천로28길 29,37.57214617,126.8212598
408,서울특별시 강서구 양천로30길 123-9,37.56875643,126.823405
409,서울특별시 강서구 양천로30길 77,37.57011955,126.8232289
410,서울특별시 강서구 양천로30길 98,37.569122,126.8222875
411,서울특별시 강서구 양천로3길 17,37.57336423,126.8064083
412,서울특별시 강서구 양천로47길 118,37.57564019,126.8368535
413,서울특별시 강서구 양천로47길 94,37.57444181,126.8372073
414,서울특별시 강서구 양천로53길 66,37.56732369,126.8485805
415,서울특별시 강서구 양천로55길 55,37.56632848,126.8481832
416,서울특별시 강서구 양천로63길 38,37.55701083,126.8658908
417,서울특별시 강서구 양천로63길 51,37.55775053,126.8656435
418,서울특별시 강서구 양천로63길 52,37.55792149,126.8661533
419,서울특별시 강서구 양천로65길 45,37.55567152,126.8677481
420,서울특별시 강서구 양천로66길 6,37.55514578,126.8639372
421,서울특별시 강서구 양천로67길 32,37.55511856,126.8688646
422,서울특별시 강서구 양천로67길 54,37.55619438,126.8694637
423,서울특별시 강서구 양천로67길 77,37.55553061,126.870358
424,서울특별시 강서구 양천로69길 18,37.55247236,126.8714342
425,서울특별시 강서구 양천로69길 58,37.55527197,126.8729604
426,서울특별시 강서구 양천로69길 65,37.55595658,126.8721543
427,서울특별시 강서구 양천로6길 28,37.57102749,126.8063998
428,서울특별시 강서구 양천로6길 57,37.56961413,126.8079659
429,서울특별시 강서구 양천로71가길 22,37.55251545,126.8735422
430,서울특별시 강서구 양천로71길 38,37.55296017,126.8721838
431,서울특별시 강서구 양천로73길 5,37.55189482,126.8715134
432,서울특별시 강서구 양천로73길 80,37.55415647,126.874157
433,서울특별시 강서구 양천로75길 19,37.55181162,126.8740724
434,서울특별시 강서구 양천로75길 22-21,37.55072192,126.8764235
